Index,Arguments,Edge Probability,Edges,Type,Set length
0,1,0.1,0,admissible,0
0,1,0.1,0,admissible,1
0,1,0.1,0,complete,1
0,1,0.1,0,preferred,1
0,1,0.1,0,stable,1
1,1,0.1,0,admissible,0
1,1,0.1,0,admissible,1
1,1,0.1,0,complete,1
1,1,0.1,0,preferred,1
1,1,0.1,0,stable,1
2,1,0.1,0,admissible,0
2,1,0.1,0,admissible,1
2,1,0.1,0,complete,1
2,1,0.1,0,preferred,1
2,1,0.1,0,stable,1
3,1,0.1,0,admissible,0
3,1,0.1,0,admissible,1
3,1,0.1,0,complete,1
3,1,0.1,0,preferred,1
3,1,0.1,0,stable,1
4,1,0.1,0,admissible,0
4,1,0.1,0,admissible,1
4,1,0.1,0,complete,1
4,1,0.1,0,preferred,1
4,1,0.1,0,stable,1
5,1,0.1,0,admissible,0
5,1,0.1,0,admissible,1
5,1,0.1,0,complete,1
5,1,0.1,0,preferred,1
5,1,0.1,0,stable,1
6,1,0.1,0,admissible,0
6,1,0.1,0,admissible,1
6,1,0.1,0,complete,1
6,1,0.1,0,preferred,1
6,1,0.1,0,stable,1
7,1,0.1,0,admissible,0
7,1,0.1,0,admissible,1
7,1,0.1,0,complete,1
7,1,0.1,0,preferred,1
7,1,0.1,0,stable,1
8,1,0.1,0,admissible,0
8,1,0.1,0,admissible,1
8,1,0.1,0,complete,1
8,1,0.1,0,preferred,1
8,1,0.1,0,stable,1
9,1,0.1,0,admissible,0
9,1,0.1,0,admissible,1
9,1,0.1,0,complete,1
9,1,0.1,0,preferred,1
9,1,0.1,0,stable,1
10,1,0.1,0,admissible,0
10,1,0.1,0,admissible,1
10,1,0.1,0,complete,1
10,1,0.1,0,preferred,1
10,1,0.1,0,stable,1
11,1,0.1,0,admissible,0
11,1,0.1,0,admissible,1
11,1,0.1,0,complete,1
11,1,0.1,0,preferred,1
11,1,0.1,0,stable,1
12,1,0.1,0,admissible,0
12,1,0.1,0,admissible,1
12,1,0.1,0,complete,1
12,1,0.1,0,preferred,1
12,1,0.1,0,stable,1
13,1,0.1,0,admissible,0
13,1,0.1,0,admissible,1
13,1,0.1,0,complete,1
13,1,0.1,0,preferred,1
13,1,0.1,0,stable,1
14,1,0.1,0,admissible,0
14,1,0.1,0,admissible,1
14,1,0.1,0,complete,1
14,1,0.1,0,preferred,1
14,1,0.1,0,stable,1
15,1,0.1,0,admissible,0
15,1,0.1,0,admissible,1
15,1,0.1,0,complete,1
15,1,0.1,0,preferred,1
15,1,0.1,0,stable,1
16,1,0.1,0,admissible,0
16,1,0.1,0,admissible,1
16,1,0.1,0,complete,1
16,1,0.1,0,preferred,1
16,1,0.1,0,stable,1
17,1,0.1,0,admissible,0
17,1,0.1,0,admissible,1
17,1,0.1,0,complete,1
17,1,0.1,0,preferred,1
17,1,0.1,0,stable,1
18,1,0.1,0,admissible,0
18,1,0.1,0,admissible,1
18,1,0.1,0,complete,1
18,1,0.1,0,preferred,1
18,1,0.1,0,stable,1
19,1,0.1,0,admissible,0
19,1,0.1,0,admissible,1
19,1,0.1,0,complete,1
19,1,0.1,0,preferred,1
19,1,0.1,0,stable,1
20,1,0.1,0,admissible,0
20,1,0.1,0,admissible,1
20,1,0.1,0,complete,1
20,1,0.1,0,preferred,1
20,1,0.1,0,stable,1
21,1,0.1,0,admissible,0
21,1,0.1,0,admissible,1
21,1,0.1,0,complete,1
21,1,0.1,0,preferred,1
21,1,0.1,0,stable,1
22,1,0.1,0,admissible,0
22,1,0.1,0,admissible,1
22,1,0.1,0,complete,1
22,1,0.1,0,preferred,1
22,1,0.1,0,stable,1
23,1,0.1,0,admissible,0
23,1,0.1,0,admissible,1
23,1,0.1,0,complete,1
23,1,0.1,0,preferred,1
23,1,0.1,0,stable,1
24,1,0.1,0,admissible,0
24,1,0.1,0,admissible,1
24,1,0.1,0,complete,1
24,1,0.1,0,preferred,1
24,1,0.1,0,stable,1
25,1,0.1,0,admissible,0
25,1,0.1,0,admissible,1
25,1,0.1,0,complete,1
25,1,0.1,0,preferred,1
25,1,0.1,0,stable,1
26,1,0.1,0,admissible,0
26,1,0.1,0,admissible,1
26,1,0.1,0,complete,1
26,1,0.1,0,preferred,1
26,1,0.1,0,stable,1
27,1,0.1,0,admissible,0
27,1,0.1,0,admissible,1
27,1,0.1,0,complete,1
27,1,0.1,0,preferred,1
27,1,0.1,0,stable,1
28,1,0.1,0,admissible,0
28,1,0.1,0,admissible,1
28,1,0.1,0,complete,1
28,1,0.1,0,preferred,1
28,1,0.1,0,stable,1
29,1,0.1,0,admissible,0
29,1,0.1,0,admissible,1
29,1,0.1,0,complete,1
29,1,0.1,0,preferred,1
29,1,0.1,0,stable,1
30,1,0.1,0,admissible,0
30,1,0.1,0,admissible,1
30,1,0.1,0,complete,1
30,1,0.1,0,preferred,1
30,1,0.1,0,stable,1
31,1,0.1,0,admissible,0
31,1,0.1,0,admissible,1
31,1,0.1,0,complete,1
31,1,0.1,0,preferred,1
31,1,0.1,0,stable,1
32,1,0.1,0,admissible,0
32,1,0.1,0,admissible,1
32,1,0.1,0,complete,1
32,1,0.1,0,preferred,1
32,1,0.1,0,stable,1
33,1,0.1,0,admissible,0
33,1,0.1,0,admissible,1
33,1,0.1,0,complete,1
33,1,0.1,0,preferred,1
33,1,0.1,0,stable,1
34,1,0.1,0,admissible,0
34,1,0.1,0,admissible,1
34,1,0.1,0,complete,1
34,1,0.1,0,preferred,1
34,1,0.1,0,stable,1
35,1,0.1,0,admissible,0
35,1,0.1,0,admissible,1
35,1,0.1,0,complete,1
35,1,0.1,0,preferred,1
35,1,0.1,0,stable,1
36,1,0.1,0,admissible,0
36,1,0.1,0,admissible,1
36,1,0.1,0,complete,1
36,1,0.1,0,preferred,1
36,1,0.1,0,stable,1
37,1,0.1,0,admissible,0
37,1,0.1,0,admissible,1
37,1,0.1,0,complete,1
37,1,0.1,0,preferred,1
37,1,0.1,0,stable,1
38,1,0.1,0,admissible,0
38,1,0.1,0,admissible,1
38,1,0.1,0,complete,1
38,1,0.1,0,preferred,1
38,1,0.1,0,stable,1
39,1,0.1,0,admissible,0
39,1,0.1,0,admissible,1
39,1,0.1,0,complete,1
39,1,0.1,0,preferred,1
39,1,0.1,0,stable,1
40,1,0.1,0,admissible,0
40,1,0.1,0,admissible,1
40,1,0.1,0,complete,1
40,1,0.1,0,preferred,1
40,1,0.1,0,stable,1
41,1,0.1,0,admissible,0
41,1,0.1,0,admissible,1
41,1,0.1,0,complete,1
41,1,0.1,0,preferred,1
41,1,0.1,0,stable,1
42,1,0.1,0,admissible,0
42,1,0.1,0,admissible,1
42,1,0.1,0,complete,1
42,1,0.1,0,preferred,1
